Architecture,Dedicated,Direct_X_(DX),Integrated,L2_Cache_(KB),Manufacturer,Memory_Type,Name,Notebook_GPU,Open_GL,Release_Date,SLI_Crossfire,Shader,Memory_Bandwidth_(GB/sec),Memory_Bus_(Bit),Memory_Speed_(MHz),Resolution_Width,Resolution_Height
,1.0,10.0,0.0,0.0,AMD,GDDR3,FireGL V3600,0,2.1,2007-01-01,0,4.0,16.0,128.0,500.0,2048.0,1536.0
,1.0,,0.0,0.0,AMD,DDR2,FireGL V3350,0,2.0,2006-01-01,0,3.0,6.4,64.0,400.0,2048.0,1536.0
,1.0,,0.0,0.0,AMD,DDR2,FireGL V3300,0,2.0,2006-04-24,0,3.0,6.4,64.0,400.0,2048.0,1536.0
,1.0,,0.0,0.0,AMD,GDDR3,FireGL V3400,0,2.0,2006-08-14,0,3.0,16.0,128.0,500.0,2048.0,1536.0
GCN 2.0 Hawaii XT GL ,1.0,11.2,0.0,1024.0,AMD,GDDR5,FirePro W9100,0,4.4,2014-03-26,1,5.0,320.0,512.0,1250.0,4096.0,2160.0
Tahiti Pro ,1.0,11.1,0.0,0.0,AMD,GDDR5,FirePro W8000,0,4.2,2012-06-14,1,5.0,176.0,256.0,1375.0,4096.0,2160.0
,1.0,9.0,0.0,0.0,AMD,DDR,FireGL V3100,0,2.0,2004-06-01,0,2.0,3.2,128.0,200.0,2048.0,1536.0
Pitcairn LE ,1.0,11.1,0.0,0.0,AMD,GDDR5,FirePro W5000,0,4.2,2012-08-01,1,5.0,102.4,256.0,800.0,4096.0,2160.0
Tahiti XT ,1.0,11.1,0.0,0.0,AMD,GDDR5,FirePro W9000,0,4.2,2012-08-01,1,5.0,264.0,384.0,1375.0,4096.0,2160.0
RV770 XT ,1.0,10.1,0.0,0.0,AMD,GDDR5,FirePro V8750,0,3.3,2009-07-28,1,4.1,115.2,256.0,900.0,2560.0,1600.0
Pitcairn XT ,1.0,11.1,0.0,0.0,AMD,GDDR5,FirePro W7000,0,4.2,2012-06-13,1,5.0,153.6,256.0,1200.0,4096.0,2160.0
Cayman Pro GL ,1.0,11.0,0.0,0.0,AMD,GDDR5,FirePro V7900,0,4.1,2011-05-24,1,5.0,160.0,256.0,1250.0,2560.0,1600.0
GCN 1.1 Oland PRO ,1.0,12.0,0.0,512.0,AMD,DDR3,FirePro W2100,0,4.4,2014-08-12,0,5.0,28.8,128.0,900.0,4096.0,2160.0
RV770 XT ,1.0,10.1,0.0,0.0,AMD,GDDR5,FirePro V8700,0,3.3,2008-09-11,1,4.1,108.8,256.0,850.0,2560.0,1600.0
RV870 ,1.0,11.0,0.0,0.0,AMD,GDDR5,FirePro V7800,0,4.1,2010-04-26,1,5.0,128.0,256.0,1000.0,2560.0,1600.0
Cayman LE GL ,1.0,11.0,0.0,0.0,AMD,GDDR5,FirePro V5900,0,4.1,2011-05-24,1,5.0,128.0,256.0,1000.0,2560.0,1600.0
RV250 ,1.0,8.0,0.0,0.0,AMD,DDR,All-in-Wonder 9000 64MB,0,1.3,2003-03-01,0,1.4,3.2,128.0,200.0,2048.0,1536.0
Evergreen Juniper XT GL ,1.0,11.1,0.0,0.0,AMD,GDDR5,FirePro V5800,0,4.2,2010-04-26,1,5.0,64.0,128.0,1000.0,4096.0,2160.0
RV730 ,1.0,10.1,0.0,0.0,AMD,GDDR3,FirePro V5700,0,3.3,2008-08-08,0,4.1,28.8,128.0,900.0,2560.0,1600.0
RV730 ,1.0,10.1,0.0,0.0,AMD,GDDR3,FirePro V3750,0,3.3,2008-09-11,0,4.1,22.4,128.0,700.0,2560.0,1600.0
,1.0,8.1,0.0,0.0,AMD,DDR,FireGL 8800,0,1.4,2001-01-01,0,1.4,2.3,64.0,290.0,2048.0,1536.0
GCN 2.0 Hawaii XT GL ,1.0,11.2,0.0,1024.0,AMD,GDDR5,FirePro S9150,0,4.2,2014-08-01,1,5.0,320.0,512.0,1250.0,4096.0,2160.0
GCN 1.0 Tahiti PRO GL ,1.0,12.0,0.0,768.0,AMD,GDDR5,FirePro S9050,0,4.4,2014-08-01,1,5.0,264.0,384.0,1375.0,4096.0,2160.0
Cypress XT ,1.0,11.0,0.0,0.0,AMD,GDDR5,FirePro V9800,0,4.1,2010-09-01,1,5.0,147.2,256.0,1150.0,2560.0,1600.0
GCN 1.0 Tahiti PRO GL ,1.0,12.0,0.0,768.0,AMD,GDDR5,FirePro S9000,0,4.4,2012-08-01,1,5.0,264.0,384.0,1375.0,4096.0,2160.0
Pitcairn XT ,1.0,11.1,0.0,0.0,AMD,GDDR5,FirePro S7000,0,4.2,2012-08-01,0,5.0,153.6,256.0,1200.0,4096.0,2160.0
Tahiti XT GL ,1.0,11.2,0.0,0.0,AMD,GDDR5,FirePro D700,0,4.3,2014-01-18,1,5.0,264.0,384.0,1375.0,4096.0,2160.0
Tahiti LE ,1.0,11.1,0.0,0.0,AMD,GDDR5,FirePro D500,0,4.2,2014-01-18,1,5.0,240.0,384.0,1250.0,4096.0,2160.0
Turks ,1.0,11.0,0.0,0.0,AMD,DDR3,FirePro V3900,0,4.2,2012-02-01,0,5.0,28.8,128.0,900.0,2560.0,1600.0
Kaveri Spectre ,0.0,11.2,1.0,0.0,AMD,DDR3,Radeon R7 7860K,0,4.3,2016-02-02,0,5.0,34.1,128.0,1067.0,4096.0,2160.0
RV870 ,1.0,11.0,0.0,0.0,AMD,GDDR5,FireStream 9370,0,4.0,2010-06-23,0,5.0,153.6,256.0,1200.0,2560.0,1600.0
Kaveri Spectre ,0.0,11.2,1.0,0.0,AMD,DDR3,Radeon R7 7700K,0,4.3,2014-02-17,0,5.0,34.1,128.0,1067.0,4096.0,2160.0
Kaveri Spectre ,0.0,11.2,1.0,4096.0,AMD,DDR3,Radeon R7 7850K,0,4.3,2014-01-14,0,5.0,34.1,128.0,1067.0,4096.0,2160.0
Kaveri Spectre ,0.0,11.2,1.0,0.0,AMD,DDR3,Radeon R7 7870K,0,4.3,2015-05-28,0,5.0,34.1,128.0,1067.0,4096.0,2160.0
Kaveri Spectre ,0.0,11.2,1.0,0.0,AMD,DDR3,Radeon R7 7890K,0,4.3,2016-03-01,0,5.0,34.1,128.0,1067.0,4096.0,2160.0
GCN 1.0 Tahiti PRO ,1.0,12.0,0.0,768.0,AMD,GDDR5,FirePro S10000,0,4.4,2012-11-01,1,5.0,240.0,384.0,1250.0,4096.0,2160.0
RV770 ,1.0,10.1,0.0,0.0,AMD,GDDR5,FireStream 9270,0,3.0,2008-11-13,0,4.0,108.8,256.0,850.0,2560.0,1600.0
RV870 ,1.0,11.0,0.0,0.0,AMD,GDDR5,FireStream 9350,0,4.0,2010-06-01,0,5.0,128.0,256.0,1000.0,2560.0,1600.0
RV670 ,1.0,10.1,0.0,0.0,AMD,GDDR3,FireStream 9170,0,3.0,2007-11-08,0,4.0,51.2,256.0,800.0,2560.0,1600.0
Kaveri Spectre ,0.0,11.2,1.0,0.0,AMD,DDR3,Radeon R7 7800,0,4.3,2014-06-30,0,5.0,34.1,128.0,1067.0,4096.0,2160.0
RV770 ,1.0,10.1,0.0,0.0,AMD,GDDR3,FireStream 9250,0,3.0,2008-06-16,0,4.0,63.6,256.0,993.0,2560.0,1600.0
Kaveri ,0.0,11.2,1.0,0.0,AMD,DDR3,Radeon R7 7600,0,4.3,2014-06-30,0,5.0,34.1,128.0,1067.0,4096.0,2160.0
Kaveri ,0.0,11.2,1.0,0.0,AMD,DDR3,Radeon R7 7600P,0,4.3,2014-06-30,0,5.0,34.1,128.0,1067.0,4096.0,2160.0
GCN 1.1 Godavari-KV-A1 ,0.0,12.0,1.0,4096.0,AMD,DDR3,Radeon R7 7670K,0,4.4,2015-07-20,0,5.0,34.1,128.0,1067.0,4096.0,2160.0
GCN 1.1 Kaveri-KV-A1 ,0.0,12.0,1.0,4096.0,AMD,DDR3,Radeon R7 7650K,0,4.4,2015-02-01,0,5.0,34.1,128.0,1067.0,4096.0,2160.0
Kabini ,1.0,11.2,0.0,0.0,AMD,DDR3,Radeon R3 5150,0,4.3,2014-04-09,0,5.0,25.6,128.0,800.0,4096.0,2160.0
Richland ,0.0,11.1,1.0,0.0,AMD,DDR3,Radeon HD 8670D,0,4.1,2013-06-01,0,5.0,34.1,128.0,1067.0,2560.0,1600.0
Kaveri ,0.0,11.2,1.0,0.0,AMD,DDR3,Radeon R5 7400K,0,4.3,2014-06-30,0,5.0,29.9,128.0,933.0,4096.0,2160.0
Kabini ,0.0,11.2,1.0,0.0,AMD,DDR3,Radeon R3 5350,0,4.3,2014-04-09,0,5.0,25.6,128.0,800.0,4096.0,2160.0
Terascale 2 Thames PRO ,0.0,11.0,1.0,256.0,AMD,DDR3,Radeon HD 8650D,0,4.3,2013-12-28,1,5.0,34.1,128.0,1067.0,2560.0,1600.0
Richland ,0.0,11.1,1.0,0.0,AMD,DDR3,Radeon HD 8570D,0,4.1,2013-06-01,0,5.0,29.9,128.0,933.0,2560.0,1600.0
Terascale 2 Thames PRO ,1.0,11.0,0.0,256.0,AMD,DDR3,Radeon HD 8550D,0,4.3,2013-09-18,1,5.0,34.1,128.0,1067.0,2560.0,1600.0
Richland ,0.0,11.1,1.0,0.0,AMD,DDR3,Radeon HD 8470D,0,4.1,2013-06-01,0,5.0,29.9,128.0,933.0,2560.0,1600.0
,1.0,,0.0,0.0,AMD,,Radeon HD 6690D2,0,4.1,,0,5.0,,,,2560.0,1600.0
,0.0,11.0,1.0,0.0,AMD,DDR3,Radeon HD 7660D,0,,2012-06-01,0,5.0,29.9,128.0,933.0,2560.0,1600.0
Scrapper ,0.0,11.0,1.0,0.0,AMD,DDR3,Radeon HD 7540D,0,4.1,2012-06-01,0,5.0,29.9,128.0,933.0,2560.0,1600.0
,0.0,11.0,1.0,0.0,AMD,DDR3,Radeon HD 7560D,0,,2012-07-01,0,5.0,29.9,128.0,933.0,2560.0,1600.0
,1.0,11.0,0.0,0.0,AMD,DDR3,Radeon HD 6610D2,0,4.1,,0,5.0,,,,2560.0,1600.0
